History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
02.11.2023 17:37:19,03.11.2023 12:09:23,AUDCAD,Buy,0.02,0.00000,0.89013,0.88562,0.88527,-3.5,-0.62,00:18:32:04,-0.06%
02.11.2023 19:17:21,03.11.2023 12:09:21,AUDCAD,Buy,0.02,0.00000,0.89013,0.88447,0.88527,8.0,1.05,00:16:52:00,0.10%
02.11.2023 17:37:20,02.11.2023 19:16:55,AUDCAD,Sell,0.02,0.00000,0.88052,0.88556,0.88447,10.9,1.53,00:01:39:35,0.15%
25.10.2023 21:49:29,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-12.10,00:00:00:00,-
25.10.2023 12:46:12,25.10.2023 17:05:21,AUDCAD,Buy,0.02,0.00000,0.87563,0.87259,0.87367,10.8,1.51,00:04:19:09,0.15%
23.10.2023 19:57:13,25.10.2023 12:45:46,AUDCAD,Sell,0.02,0.00000,0.87060,0.86784,0.87258,-47.4,-6.99,01:16:48:33,-0.69%
24.10.2023 10:05:14,25.10.2023 12:45:45,AUDCAD,Sell,0.04,0.00000,0.87060,0.87134,0.87260,-12.6,-3.82,01:02:40:31,-0.38%
25.10.2023 08:58:50,25.10.2023 12:45:45,AUDCAD,Sell,0.08,0.00000,0.87060,0.87626,0.87254,37.2,21.40,00:03:46:55,2.15%
20.10.2023 07:23:30,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-3.29,00:00:00:00,-
19.10.2023 16:22:48,19.10.2023 19:00:14,AUDCAD,Sell,0.05,0.00000,0.86476,0.86780,0.86686,9.4,3.29,00:02:37:26,0.33%
19.10.2023 11:34:24,,,Withdrawal,0,0.00000,0.00000,0.00000,0.00000,0.0,-2.89,00:00:00:00,-
19.10.2023 05:14:29,19.10.2023 09:26:11,AUDCAD,Buy,0.05,0.00000,0.86780,0.86476,0.86559,8.3,2.89,00:04:11:42,0.29%
